rc_1_1_on:  1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 1
rc_1_1_off: 1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1  
rc_1_2_on:  1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 1, 2
rc_1_2_off: 1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 2
rc_1_3_on:  1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 1, 3, 2, 1, 3, 1
rc_1_3_off: 1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 2, 2, 2, 1, 3, 1
rc_1_0_off: 1, 0, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 2, 2, 2, 3, 1, 3, 2, 2, 2, 2, 1

rc_2_1_on:  1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 2, 2, 1
rc_2_1_off: 1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 2, 2, 2, 1
rc_2_2_on:  1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 2, 1, 2
rc_2_2_off: 1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 2, 2, 1, 2
rc_2_3_on:  1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 1
rc_2_3_off: 1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 2, 1, 3, 1
rc_2_0_off: 1, 0, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 3, 1, 3, 2, 2, 2, 2, 1
